Name,Start,End,Len
LUV,2001-01-02,2021-05-24,5130
AME,2001-01-02,2021-05-24,5130
NOV,2001-01-02,2021-05-24,5130
IT,2001-01-02,2021-05-24,5130
PH,2001-01-02,2021-05-24,5130
RL,2001-01-02,2021-05-24,5130
IDXX,2001-01-02,2021-05-24,5130
CVX,2001-01-02,2021-05-24,5130
DOW,2019-03-20,2021-05-24,550
HON,2001-01-02,2021-05-24,5130
AMCR,2012-05-15,2021-05-24,2271
GRMN,2001-01-02,2021-05-24,5130
J,2001-01-02,2021-05-24,5130
MCK,2001-01-02,2021-05-24,5130
XEL,2001-01-02,2021-05-24,5130
XRAY,2001-01-02,2021-05-24,5130
EXPD,2001-01-02,2021-05-24,5130
ZBH,2001-07-25,2021-05-24,4989
JPM,2001-01-02,2021-05-24,5130
CHRW,2001-01-02,2021-05-24,5130
GD,2001-01-02,2021-05-24,5130
TDG,2006-03-15,2021-05-24,3825
EXC,2001-01-02,2021-05-24,5130
PGR,2001-01-02,2021-05-24,5130
PAYX,2001-01-02,2021-05-24,5130
GE,2001-01-02,2021-05-24,5130
PG,2001-01-02,2021-05-24,5130
AAPL,2001-01-02,2021-05-24,5130
LIN,2001-01-02,2021-05-24,5130
DE,2001-01-02,2021-05-24,5130
VNO,2001-01-02,2021-05-24,5130
AVB,2001-01-02,2021-05-24,5130
KMB,2001-01-02,2021-05-24,5130
CAT,2001-01-02,2021-05-24,5130
CB,2001-01-02,2021-05-24,5130
BKNG,2001-01-02,2021-05-24,5130
MCHP,2001-01-02,2021-05-24,5130
ADM,2001-01-02,2021-05-24,5130
TSLA,2010-06-29,2021-05-24,2745
DXC,2001-01-02,2021-05-24,5130
ADSK,2001-01-02,2021-05-24,5130
STE,2001-01-02,2021-05-24,5130
BAC,2001-01-02,2021-05-24,5130
NVDA,2001-01-02,2021-05-24,5131
FB,2012-05-18,2021-05-24,2268
FTV,2016-07-05,2021-05-24,1231
SWK,2001-01-02,2021-05-24,5130
MMC,2001-01-02,2021-05-24,5130
CMA,2001-01-02,2021-05-24,5130
ZTS,2013-02-01,2021-05-24,2092
UNM,2001-01-02,2021-05-24,5130
DVN,2001-01-02,2021-05-24,5130
NLSN,2011-01-27,2021-05-24,2598
BLL,2001-01-02,2021-05-24,5130
SHW,2001-01-02,2021-05-24,5130
CTVA,2019-05-24,2021-05-24,504
GPN,2001-01-16,2021-05-24,5121
PM,2008-03-17,2021-05-24,3321
DHI,2001-01-02,2021-05-24,5130
GNRC,2010-02-11,2021-05-24,2840
GIS,2001-01-02,2021-05-24,5130
MSFT,2001-01-02,2021-05-24,5130
TROW,2001-01-02,2021-05-24,5130
SIVB,2001-01-02,2021-05-24,5130
AEP,2001-01-02,2021-05-24,5130
MCO,2001-01-02,2021-05-24,5130
K,2001-01-02,2021-05-24,5130
CLX,2001-01-02,2021-05-24,5130
EXPE,2005-07-21,2021-05-24,3988
CNC,2001-12-13,2021-05-24,4894
BIIB,2001-01-02,2021-05-24,5130
GWW,2001-01-02,2021-05-24,5130
NDAQ,2002-07-01,2021-05-24,4758
ITW,2001-01-02,2021-05-24,5130
JNJ,2001-01-02,2021-05-24,5130
ANSS,2001-01-02,2021-05-24,5130
CTLT,2014-07-31,2021-05-24,1716
ALXN,2001-01-02,2021-05-24,5130
KR,2001-01-02,2021-05-24,5130
PFG,2001-10-23,2021-05-24,4930
POOL,2001-01-02,2021-05-24,5130
NXPI,2010-08-06,2021-05-24,2718
PNR,2001-01-02,2021-05-24,5130
DLTR,2001-01-02,2021-05-24,5130
MKTX,2004-11-05,2021-05-24,4165
ODFL,2001-01-02,2021-05-24,5130
CE,2005-01-21,2021-05-24,4113
HFC,2001-01-02,2021-05-24,5130
FRT,2001-01-02,2021-05-24,5130
DPZ,2004-07-13,2021-05-24,4247
PEG,2001-01-02,2021-05-24,5130
VFC,2001-01-02,2021-05-24,5130
PENN,2001-01-02,2021-05-24,5130
LUMN,2001-01-02,2021-05-24,5130
CMI,2001-01-02,2021-05-24,5130
MRO,2001-01-02,2021-05-24,5130
VMC,2001-01-02,2021-05-24,5130
CCL,2001-01-02,2021-05-24,5130
EMR,2001-01-02,2021-05-24,5130
KEYS,2014-10-20,2021-05-24,1660
APTV,2011-11-17,2021-05-24,2393
BA,2001-01-02,2021-05-24,5130
WFC,2001-01-02,2021-05-24,5130
RSG,2001-01-02,2021-05-24,5130
