idx,Close,Open,High,Low,Volume,Variation,LNT,DIS,KMX,DTE,EXR,EFX,ZBH,JNJ,PEP,DUK,BBANDS_upper,BBANDS_middle,BBANDS_lower
0,-0.1983797521643539,-0.0274167774632243,-0.0465046772973268,0.3755422127485176,0,-0.6598812670154829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.6206756433577305,-0.507232445138057,-1.35733629038625,-0.8528620144416698,1,-0.4362062609448249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-1.5832493403459555,-1.8438505989594247,-1.9070305041257616,-1.940877473992885,0,0.5704112645872021,0.3114450144503025,0.0912481871369764,0.4074799617332037,0.078211389202814,0.9227762819395586,0.834004888960949,0.9008220261292572,0.2648787581593902,0.7383827373135421,0.880351446129518,0.0,0.0,0.0
3,0.587636862246906,-1.364034931284592,0.1649022152837365,-1.063450186598491,0,1.912557298868012,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.0,0.0,0.0
4,1.1865005445446155,-0.1645055674612183,0.7568899052157622,-0.0105294086078373,-1,1.0177932760141686,0.178999101025751,0.8287806889054039,0.8520534030247635,0.0,0.3530769055086826,0.3050541760448035,0.0115623860102469,0.7462967687422319,0.0138436121872079,0.5531054620078054,1.936319211767375,-0.3256334658153037,-2.5875861433979823
5,1.2987901621072684,1.0350237963621556,0.9260275169568692,1.463547630903006,0,-1.1072632784423897,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,2.5921652677037503,-0.026199482960979247,-2.644564233625709
6,0.8870687033957609,0.5894876802096022,0.4609081579259945,1.1827801370217887,0,-1.2750355326382157,0.926823236524154,0.2785447779147953,0.4441959729876166,0.4534789718241622,0.1995955052290057,0.0061432253049908,0.3083041509518449,0.7655761001435979,0.1658947544210128,5.0208972262266097e-05,2.5926572377533152,0.4753493863897191,-1.6419584649738772
7,0.3630576271216008,1.5491092101955597,1.4757338283726371,0.8318031972259764,0,0.6263460157476843,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,1.5693939981662126,0.8646107798832302,0.1598275616002477
8,-0.3106586611996584,0.7951159625247393,0.2917584485086309,0.0245753143494695,0,0.3467042592309237,0.5810237011575216,6.694256095209494e-28,0.1545693817636635,0.2128296820746023,0.3047699257110717,0.3354307773959066,8.918480085650633e-06,0.8385964310616743,1.5855020626410638e-17,0.1585559582410236,1.872909913372446,0.6849516751939173,-0.5030065629846114
9,-0.6100905023485133,-0.0616963289855219,-0.7653486004542244,-0.0105294086078373,-1,-0.9954257754070754,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,1.7522633589219403,0.3256334658152916,-1.1009964272913568
10,-1.1294836044227892,-0.2740919445222112,-0.8588815637970515,-0.6275435680458807,0,-0.6389314030475282,4.492124239212571e-12,0.0,0.6819071635831291,0.075542036217467,0.9566348666625998,1.4265417549502514e-06,0.8335195917502685,1.341252166206326e-09,7.981138796351986e-22,0.6583312688868699,1.2640910958269975,-0.16002128749071987,-1.5841336708084373
11,-1.1294836044227892,-1.2799266824685962,-0.8588815637970515,-1.6283592561610405,2,2.078355582838566,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.9859002580259644,0.5556975421802788,-0.5633317490544298,-1.6823610402891385
12,-1.3420921755590949,-0.9027368571643188,-1.6127475457570624,-1.1955732571032307,0,-1.1529979598868163,0.0304736144117542,0.897495856534624,0.7418158294611008,0.0075171590511999,0.8795254435304962,0.67309004120507,0.4712736475637232,0.0334254080009835,0.8828013813933423,0.3180623270827854,-0.1390923196457846,-0.9043617095905689,-1.6696310995353532
